,Time,T1,T2,Q1,Q2
0,0.0,22.2,21.87,50.0,0.0
1,1.0,22.2,21.87,50.0,0.0
2,2.0,22.2,21.87,50.0,0.0
3,3.0,22.2,21.87,50.0,0.0
4,4.0,22.2,21.87,50.0,0.0
5,5.0,22.2,21.87,50.0,0.0
6,6.0,22.2,21.55,50.0,0.0
7,7.0,22.2,21.87,50.0,0.0
8,8.0,22.52,21.87,50.0,0.0
9,9.0,22.52,21.87,50.0,0.0
10,10.0,22.52,21.87,50.0,0.0
11,11.0,22.52,21.87,50.0,0.0
12,12.0,22.84,21.87,50.0,0.0
13,13.0,22.84,21.87,50.0,0.0
14,14.0,22.84,21.87,50.0,0.0
15,15.0,22.84,21.87,50.0,0.0
16,16.0,23.16,21.87,50.0,0.0
17,17.0,23.16,21.87,50.0,0.0
18,18.0,23.16,21.87,50.0,0.0
19,19.0,23.48,21.87,50.0,0.0
20,20.0,23.48,21.87,50.0,0.0
21,21.0,23.81,21.87,50.0,0.0
22,22.0,23.81,21.87,50.0,0.0
23,23.0,23.81,21.87,50.0,0.0
24,24.0,24.13,21.87,50.0,0.0
25,25.0,24.13,21.87,50.0,0.0
26,26.0,24.45,21.87,50.0,0.0
27,27.0,24.45,21.87,50.0,0.0
28,28.0,24.77,21.87,50.0,0.0
29,29.0,24.77,21.87,50.0,0.0
30,30.0,25.1,21.87,50.0,0.0
31,31.0,25.1,21.87,50.0,0.0
32,32.0,25.42,21.87,50.0,0.0
33,33.0,25.42,21.87,50.0,0.0
34,34.0,25.74,21.87,50.0,0.0
35,35.0,25.74,21.87,50.0,0.0
36,36.0,26.06,21.87,50.0,0.0
37,37.0,26.06,22.2,50.0,0.0
38,38.0,26.39,21.87,50.0,0.0
39,39.0,26.39,22.2,50.0,0.0
40,40.0,26.71,22.2,50.0,0.0
41,41.0,26.71,22.2,50.0,0.0
42,42.0,27.03,21.87,50.0,0.0
43,43.0,27.03,22.2,50.0,0.0
44,44.0,27.35,22.2,50.0,0.0
45,45.0,27.35,22.2,50.0,0.0
46,46.0,27.67,22.2,50.0,0.0
47,47.0,28.0,22.2,50.0,0.0
48,48.0,28.0,22.2,50.0,0.0
49,49.0,28.32,22.2,50.0,0.0
50,50.0,28.32,22.2,50.0,0.0
51,51.0,28.32,22.2,50.0,0.0
52,52.0,28.64,22.2,50.0,0.0
53,53.0,28.96,22.2,50.0,0.0
54,54.0,28.96,22.2,50.0,0.0
55,55.0,29.29,22.2,50.0,0.0
56,56.0,29.29,22.2,50.0,0.0
57,57.0,29.61,22.2,50.0,0.0
58,58.0,29.61,22.2,50.0,0.0
59,59.0,29.93,22.52,50.0,0.0
60,60.0,30.25,22.52,50.0,0.0
61,61.0,30.25,22.52,50.0,0.0
62,62.0,30.57,22.52,50.0,0.0
63,63.0,30.57,22.52,50.0,0.0
64,64.0,30.9,22.52,50.0,0.0
65,65.0,30.9,22.52,50.0,0.0
66,66.0,31.22,22.52,50.0,0.0
67,67.0,31.22,22.52,50.0,0.0
68,68.0,31.54,22.52,50.0,0.0
69,69.0,31.54,22.52,50.0,0.0
70,70.0,31.86,22.84,50.0,0.0
71,71.0,31.86,22.84,50.0,0.0
72,72.0,32.19,22.84,50.0,0.0
