,Time (min),Valve Position (% open),Temperature (degC)
0,0,0,3.6
1,5,0,3.7
2,10,0,3.6
3,15,0,3.7
4,20,0,3.6
5,25,0,3.7
6,30,0,3.7
7,35,0,3.6
8,40,0,3.6
9,45,0,3.6
10,50,0,3.6
11,55,0,3.7
12,60,0,3.7
13,65,0,3.7
14,70,0,3.7
15,75,0,3.5
16,80,0,3.6
17,85,0,3.7
18,90,0,3.5
19,95,0,3.6
20,100,0,3.5
21,105,0,3.7
22,110,0,3.6
23,115,0,3.7
24,120,0,3.6
25,125,0,3.7
26,130,0,3.7
27,135,0,3.7
28,140,0,3.7
29,145,0,3.7
30,150,0,3.7
31,155,0,3.5
32,160,0,3.6
33,165,0,3.6
34,170,0,3.6
35,175,0,3.7
36,180,0,3.6
37,185,0,3.6
38,190,0,3.7
39,195,0,3.6
40,200,0,3.5
41,205,0,3.6
42,210,0,3.5
43,215,0,3.7
44,220,0,3.6
45,225,0,3.5
46,230,0,3.7
47,235,0,3.7
48,240,0,3.6
49,245,0,3.7
50,250,0,3.5
51,255,0,3.7
52,260,0,3.7
53,265,0,3.6
54,270,0,3.6
55,275,0,3.7
56,280,0,3.7
57,285,0,3.7
58,290,0,3.5
59,295,0,3.7
60,300,0,3.5
61,305,0,3.5
62,310,0,3.7
63,315,0,3.6
64,320,0,3.7
65,325,0,3.6
66,330,0,3.7
67,335,0,3.5
68,340,0,3.5
69,345,0,3.5
70,350,0,3.7
71,355,0,3.7
72,360,0,3.6
73,365,0,3.6
74,370,0,3.7
75,375,0,3.5
76,380,0,3.7
77,385,0,3.5
78,390,0,3.7
79,395,0,3.6
80,400,100,3.7
81,405,100,14.9
82,410,100,18.2
83,415,100,19.2
84,420,100,19.9
85,425,100,20.1
86,430,100,20.8
87,435,100,21.0
88,440,100,21.3
89,445,100,21.4
90,450,100,21.5
91,455,100,22.0
92,460,100,21.8
93,465,100,21.8
94,470,100,21.9
95,475,100,21.5
96,480,100,21.7
97,485,100,21.2
98,490,100,20.7
99,495,100,20.3
100,500,100,20.3
101,505,100,20.1
102,510,100,21.2
103,515,100,22.8
104,520,100,23.9
105,525,100,24.2
106,530,100,24.9
107,535,100,25.7
108,540,100,26.4
109,545,100,26.5
110,550,100,26.7
111,555,100,27.3
112,560,100,27.6
