,Time,T1,T2,Q1,Q2
0,0.0,24.45,24.45,0.0,0.0
1,1.01,24.45,24.45,0.0,0.0
2,2.0,24.45,24.13,0.0,0.0
3,3.01,24.45,24.45,0.0,0.0
4,4.01,24.45,24.45,0.0,0.0
5,5.0,24.45,24.45,0.0,0.0
6,6.01,24.45,24.13,0.0,0.0
7,7.01,24.45,24.13,0.0,0.0
8,8.02,24.45,24.45,0.0,0.0
9,9.01,24.13,24.13,0.0,0.0
10,10.01,24.45,24.45,0.0,0.0
11,11.01,24.45,24.13,0.0,0.0
12,12.0,24.45,24.13,0.0,0.0
13,13.01,24.45,24.45,0.0,0.0
14,14.01,24.45,24.45,0.0,0.0
15,15.0,24.45,24.45,0.0,0.0
16,16.0,24.45,24.13,0.0,0.0
17,17.0,24.45,24.13,0.0,0.0
18,18.01,24.45,24.13,0.0,0.0
19,19.01,24.45,24.45,0.0,0.0
20,20.01,24.45,24.45,0.0,0.0
21,21.01,24.45,24.45,0.0,0.0
22,22.01,24.45,24.45,0.0,0.0
23,23.0,24.45,24.45,0.0,0.0
24,24.01,24.45,24.45,0.0,0.0
25,25.01,24.45,24.45,0.0,0.0
26,26.0,24.45,24.45,0.0,0.0
27,27.0,24.45,24.13,0.0,0.0
28,28.02,24.45,24.45,0.0,0.0
29,29.01,24.45,24.45,0.0,0.0
30,30.0,24.45,24.45,35.0,0.0
31,31.01,24.45,24.45,35.0,0.0
32,32.01,24.45,24.13,35.0,0.0
33,33.0,24.45,24.45,35.0,0.0
34,34.02,24.45,24.45,35.0,0.0
35,35.01,24.45,24.45,35.0,0.0
36,36.02,24.77,24.45,35.0,0.0
37,37.01,24.45,24.45,35.0,0.0
38,38.01,24.77,24.45,35.0,0.0
39,39.01,24.77,24.45,35.0,0.0
40,40.0,24.77,24.45,35.0,0.0
41,41.01,24.77,24.45,35.0,0.0
42,42.01,24.77,24.45,35.0,0.0
43,43.01,25.1,24.45,35.0,0.0
44,44.01,25.1,24.45,35.0,0.0
45,45.0,25.1,24.45,35.0,0.0
46,46.0,25.1,24.45,35.0,0.0
47,47.01,25.1,24.45,35.0,0.0
48,48.0,25.42,24.45,35.0,0.0
49,49.01,25.42,24.45,35.0,0.0
50,50.01,25.42,24.45,35.0,0.0
51,51.01,25.74,24.45,35.0,0.0
52,52.0,25.74,24.45,35.0,0.0
53,53.01,25.74,24.45,35.0,0.0
54,54.01,25.74,24.45,35.0,0.0
55,55.0,26.06,24.45,35.0,0.0
56,56.01,26.06,24.45,35.0,0.0
57,57.01,26.39,24.45,35.0,0.0
58,58.0,26.39,24.45,35.0,0.0
59,59.01,26.39,24.45,35.0,0.0
60,60.0,26.71,24.45,35.0,0.0
61,61.01,26.71,24.45,35.0,0.0
62,62.01,26.71,24.45,35.0,0.0
63,63.0,27.03,24.45,35.0,0.0
64,64.0,27.03,24.45,35.0,0.0
65,65.01,27.35,24.45,35.0,0.0
66,66.01,27.35,24.45,35.0,0.0
67,67.01,27.35,24.45,35.0,0.0
68,68.01,27.35,24.45,35.0,0.0
69,69.01,27.67,24.45,35.0,0.0
70,70.0,27.67,24.45,35.0,0.0
71,71.01,28.0,24.45,35.0,0.0
72,72.0,28.0,24.45,35.0,0.0
73,73.0,28.0,24.45,35.0,0.0
74,74.01,28.32,24.45,35.0,0.0
75,75.01,28.32,24.45,35.0,0.0
76,76.0,28.64,24.45,35.0,0.0
77,77.01,28.64,24.45,35.0,0.0
78,78.01,28.64,24.45,35.0,0.0
79,79.0,28.96,24.45,35.0,0.0
80,80.01,28.96,24.77,35.0,0.0
81,81.0,29.29,24.45,35.0,0.0
